Area,Build_date,Room,Parking,Warehouse,Elevator,Price,Address
132,1400,3,1,1,1,10300000000,تهران‌سر
74,1370,1,1,1,1,11500000000,اکباتان
53,1399,4,0,1,1,3550000000,جیحون
75,1385,2,1,1,1,5500000000,"آذربایجانمیدان جمهوری اسلامی (خیابان توحید)"
144,1400,3,1,1,1,17800000000,هروی
120,1401,2,1,1,1,3060000000,کوهک
92,1384,2,1,1,1,8600000000,اباذر
120,1396,2,1,1,1,9954000000,"دریاچه شهدای خلیج فارس"
75,1376,2,0,1,1,4100000000,بهار
120,1401,3,1,1,1,3200000000,"مبارک‌آباد بهشتی"
72,1380,2,0,1,0,5850000000,"شهرک پرواز"
80,1402,2,1,1,1,11000000000,"مرزدارانخیابان بیدکی (ب. اشرفی اصفهانی)"
120,1402,2,1,1,1,19500000000,ولنجک
196,1396,3,1,1,1,22900000000,اختیاریه
85,1401,2,1,1,1,15300000000,اختیاریه
72,1387,2,0,1,0,7700000000,"پونکبلوار فلاح زاده (همیلا) (بلوار میرزابابایی)"
60,1393,1,1,0,1,3500000000,"شهرک ولیعصر"
122,1401,2,1,1,1,16000000000,"یوسف‌آبادخیابان بیستون (خ. دکتر فاطمی)"
252,1390,2,1,1,0,11400000000,نواب
12,1384,0,1,0,1,550000000,سوهانک
75,1401,2,0,1,1,2150000000,هاشم‌آباد
82,1383,2,1,1,1,11000000000,"شهرک ژاندارمری"
100,1402,2,1,1,1,12000000000,"شهرک نفت (منطقه ۵)"
275,1398,4,1,1,1,49500000000,پاسداران
320,1399,4,1,1,1,64000000000,دروس
250,1401,3,1,1,1,60000000000,دروس
220,1401,3,1,1,1,60000000000,دروس
95,1377,2,1,1,1,7500000000,مرزداران
93,1396,2,1,1,1,9600000000,"شهران شمالی"
98,1399,2,1,1,1,10300000000,"جنت‌آباد مرکزی"
112,1399,2,1,1,1,11150000000,"جنت‌آباد مرکزی"
120,1401,2,1,1,1,9000000000,"سلسبیلخیابان رودکی شمالی (خیابان رودکی جنوبی)"
75,1386,2,1,1,1,7850000000,"جنت‌آباد جنوبی"
130,1392,3,1,1,1,16510000000,"سعادت‌آبادبلوار ذبیحی"
66,1393,1,1,1,1,2300000000,یافت‌آباد
73,1380,2,1,1,1,7100000000,"کوی فردوس"
150,1399,3,1,1,1,21000000000,پونک
46,1402,1,1,1,1,3250000000,"مهرآباد جنوبی"
103,1398,2,1,1,1,11300000000,"کوی فردوسخیابان بهار جنوبی (خ. طالقانی)"
98,1383,2,0,1,0,3650000000,سلسبیل
110,1399,2,1,1,1,20980000000,"کوی مهران"
165,1401,2,1,1,1,31500000000,پاسداران
42,1384,1,0,1,0,2750000000,مجیدیه
115,1387,3,1,1,0,8500000000,پونک
68,1391,2,1,0,1,3650000000,آذری
92,1382,2,1,1,1,4200000000,بریانک
64,1383,1,1,1,1,5500000000,صادقیه
40,1395,1,0,1,0,2700000000,جیحون
127,1401,0,1,1,1,5700000000,چیتگر
20,1401,0,1,1,1,605000000,چیتگر
51,1390,2,1,1,0,3500000000,جیحون
140,1396,3,1,1,1,16700000000,"میردامادخیابان نفت شمالی (خ. ظفر)"
54,1395,1,0,1,1,3605000000,زنجان
47,1382,1,0,1,0,2400000000,آذری
100,1402,2,1,1,1,7800000000,"دهکده المپیک"
138,1401,3,1,1,1,15000000000,طرشت
286,1390,3,1,1,1,105000000000,الهیه
111,1395,2,1,1,1,8900000000,منیریه
150,1401,3,1,1,1,21000000000,"سازمان برنامه"
117,1397,3,1,1,1,9711000000,حکیمیه
74,1390,2,1,1,1,7100000000,"کوی فردوس"
132,1374,2,0,1,0,4700000000,"استاد معین"
40,1383,1,1,1,1,3150000000,"نظام‌آبادکوچه محمد حسینی"
112,1401,2,1,1,1,1680000000,"اندیشه (شهر زیبا)"
111,1401,2,1,1,1,1443000000,یافت‌آباد
107,1401,3,1,1,1,1500000000,زیبادشت
58,1383,1,0,1,0,2800000000,آذری
138,1393,3,1,1,1,15900000000,"جنت‌آباد جنوبی"
85,1382,2,1,1,0,6500000000,"شهران جنوبی"
54,1390,1,0,1,0,3300000000,آذربایجان
52,1390,1,0,1,0,3300000000,"دکتر هوشیار"
91,1390,2,1,1,1,10400000000,"جنت‌آباد جنوبی"
78,1397,2,1,1,1,8500000000,"کوی فردوس"
75,1383,2,1,1,1,7100000000,"کوی فردوس"
150,1398,3,1,1,1,15200000000,"جنت‌آباد مرکزی"
137,1399,3,1,1,1,16200000000,"پونکبلوار فلاح زاده (همیلا) (بلوار میرزابابایی)"
90,1390,2,1,1,1,7000000000,صادقیه
155,1391,3,1,1,1,17680000000,"جنت‌آباد مرکزی"
142,1402,3,1,1,1,21500000000,سعادت‌آباد
120,1401,2,1,1,1,12000000000,"جنت‌آباد مرکزی"
139,1398,3,1,1,1,15750000000,پونک
66,1400,2,1,1,1,4090000000,بریانک
102,1401,2,1,1,1,19300000000,"گیشا (کوی نصر)"
105,1399,2,1,1,1,18200000000,"گیشا (کوی نصر)"
108,1401,2,1,1,1,10800000000,"نیرو هوایی"
135,1392,3,1,1,1,19200000000,مرزداران
80,1397,2,1,1,1,10000000000,پونک
149,1402,3,1,1,1,16390000000,شادمهر
170,1385,3,1,1,1,30000000000,سعادت‌آباد
72,1395,1,1,1,1,10500000000,قلهک
97,1398,2,1,1,1,15500000000,نیاوران
120,1401,2,1,1,1,14100000000,پاسداران
50,1370,1,0,1,0,2950000000,آذربایجان
59,1383,1,1,1,1,5959590000,"ارمخیابان ارم (ب. باکری)"
55,1390,1,0,1,0,3300000000,"استاد معین"
87,1385,2,1,1,0,6699000000,اباذر
153,1396,3,1,0,1,16000000000,قنات‌کوثر
130,1401,2,1,1,1,20800000000,حکمت
185,1399,3,1,1,1,32375000000,قیطریه
48,1384,1,0,1,1,3300000000,"پیروزیبلوار ابوذر"
115,1397,2,1,1,1,13650000000,مرزداران
97,1401,2,1,1,1,8051000000,سلسبیل
66,1388,1,0,1,0,2700000000,بریانک
90,1395,2,1,1,1,8600000000,پونک
110,1402,2,1,1,1,7500000000,"سرو آزاد"
100,1402,2,1,1,1,11000000000,"کوی فردوس"
148,1401,3,1,1,1,16200000000,ستارخان
95,1400,2,0,1,1,2900000000,"تهرانپارس شرقی"
120,1402,2,1,1,1,2820000000,چیتگر
61,1388,1,0,1,0,2790000000,جیحون
50,1389,1,0,1,0,3250000000,جیحون
79,1393,2,0,1,1,4000000000,سلسبیل
62,1385,2,1,1,0,4340000000,تهران‌سر
69,1385,2,1,1,0,4400000000,"دکتر هوشیار"
76,1389,2,1,1,1,2400000000,"اندیشه (شهر زیبا)"
145,1401,3,1,1,1,33350000000,سعادت‌آباد
65,1390,2,0,1,0,2950000000,"شهرک ولیعصر"
55,1394,1,1,1,0,1850000000,"اندیشه (شهر زیبا)"
75,1394,2,1,1,0,2300000000,"اندیشه (شهر زیبا)"
100,1401,2,1,1,1,4700000000,وردآورد
70,1388,2,1,1,0,6550000000,"شهرک نفت (منطقه ۵)"
196,1384,4,1,1,1,23520000000,"تجریشخیابان دربند (خ. دکتر شریعتی)"
59,1395,2,1,1,1,4300000000,آذربایجان
60,1398,1,1,1,1,6350000000,"شهر زیبا"
46,1390,1,1,1,1,2799000000,بریانک
106,1400,2,1,1,1,2700000000,"مبارک‌آباد بهشتی"
360,1398,4,1,1,1,75000000000,آجودانیه
350,1399,4,1,1,1,67000000000,فرمانیه
